Emoji;Unicode codepoint;Negative;Neutral;Positive;Sentiment Score;unicode name
😂;0x1f602;3614;4163;6845;3231;face with tears of joy
❤;0x2764;355;1334;6361;6006;heavy black heart
♥;0x2665;252;1942;4950;4698;black heart suit
😍;0x1f60d;329;1390;4640;4311;smiling face with heart-shaped eyes
😭;0x1f62d;2412;1218;1896;-516;loudly crying face
😘;0x1f618;193;702;2753;2560;face throwing a kiss
😊;0x1f60a;189;754;2243;2054;smiling face with smiling eyes
👌;0x1f44c;274;728;1923;1649;ok hand sign
💕;0x1f495;99;683;1618;1519;two hearts
👏;0x1f44f;243;634;1459;1216;clapping hands sign
😁;0x1f601;278;648;1263;985;grinning face with smiling eyes
☺;0x263a;128;449;1485;1357;white smiling face
♡;0x2661;102;448;1425;1323;white heart suit
👍;0x1f44d;213;460;1181;968;thumbs up sign
😩;0x1f629;1069;336;403;-666;weary face
🙏;0x1f64f;124;648;767;643;person with folded hands
✌;0x270c;173;476;885;712;victory hand
😏;0x1f60f;170;676;676;506;smirking face
😉;0x1f609;151;513;857;706;winking face
🙌;0x1f64c;152;358;996;844;person raising both hands in celebration
🙈;0x1f648;238;350;868;630;see-no-evil monkey
💪;0x1f4aa;101;424;884;783;flexed biceps
😄;0x1f604;191;426;781;590;smiling face with open mouth and smiling eyes
😒;0x1f612;819;266;300;-519;unamused face
💃;0x1f483;59;237;1048;989;dancer
💖;0x1f496;54;254;955;901;sparkling heart
😃;0x1f603;86;361;759;673;smiling face with open mouth
😔;0x1f614;559;263;383;-176;pensive face
😱;0x1f631;298;319;513;215;face screaming in fear
🎉;0x1f389;43;207;875;832;party popper
😜;0x1f61c;115;333;587;472;face with stuck-out tongue and winking eye
☯;0x262f;5;981;6;1;yin yang
🌸;0x1f338;37;255;654;617;cherry blossom
💜;0x1f49c;41;241;657;616;purple heart
💙;0x1f499;29;186;697;668;blue heart
✨;0x2728;43;463;342;299;sparkles
😳;0x1f633;277;277;292;15;flushed face
💗;0x1f497;42;201;593;551;growing heart
★;0x2605;25;543;260;235;black star
█;0x2588;71;682;45;-26;full block
☀;0x2600;21;377;388;367;black sun with rays
😡;0x1f621;403;81;272;-131;pouting face
😎;0x1f60e;79;224;451;372;smiling face with sunglasses
😢;0x1f622;288;168;293;5;crying face
💋;0x1f48b;28;169;537;509;kiss mark
😋;0x1f60b;33;203;498;465;face savouring delicious food
🙊;0x1f64a;97;197;431;334;speak-no-evil monkey
😴;0x1f634;303;170;245;-58;sleeping face
🎶;0x1f3b6;67;189;445;378;multiple musical notes
💞;0x1f49e;27;123;537;510;revolving hearts
😌;0x1f60c;93;157;415;322;relieved face
🔥;0x1f525;80;400;171;91;fire
💯;0x1f4af;179;202;256;77;hundred points symbol
🔫;0x1f52b;298;126;180;-118;pistol
💛;0x1f49b;25;123;454;429;yellow heart
💁;0x1f481;105;159;285;180;information desk person
💚;0x1f49a;41;101;395;354;green heart
♫;0x266b;33;313;187;154;beamed eighth notes
😞;0x1f61e;255;85;192;-63;disappointed face
😆;0x1f606;81;148;298;217;smiling face with open mouth and tightly-closed eyes
😝;0x1f61d;65;155;276;211;face with stuck-out tongue and tightly-closed eyes
😪;0x1f62a;208;105;169;-39;sleepy face
�;0xfffd;78;275;119;41;replacement character
😫;0x1f62b;227;81;159;-68;tired face
