UTF8;Icon;Short Name
U+2639;☹;frowning face
U+1F641;🙁;slightly frowning face
U+1F616;😖;confounded face
U+1F61E;😞;disappointed face
U+1F61F;😟;worried face
U+1F624;😤;face with steam from nose
U+1F622;😢;crying face
U+1F62D;😭;loudly crying face
U+1F626;😦;frowning face with open mouth
U+1F627;😧;anguished face
U+1F628;😨;fearful face
U+1F629;😩;weary face
U+1F92F;🤯;exploding head
U+1F62C;😬;grimacing face
U+1F630;😰;anxious face with sweat
U+1F631;😱;face screaming in fear
U+1F633;😳;flushed face
U+1F92A;🤪;zany face
U+1F635;😵;dizzy face
U+1F621;😡;pouting face
U+1F620;😠;angry face
U+1F92C;🤬;face with symbols on mouth
