UTF8;Icon;Short Name
U+1F914;🤔;thinking face
U+1F928;🤨;face with raised eyebrow
U+1F610;😐;neutral face
U+1F611;😑;expressionless face
U+1F636;😶;face without mouth
U+1F644;🙄;face with rolling eyes
U+1F60F;😏;smirking face
U+1F623;😣;persevering face
U+1F625;😥;sad but relieved face
U+1F62E;😮;face with open mouth
U+1F910;🤐;zipper-mouth face
U+1F62F;😯;hushed face
U+1F62A;😪;sleepy face
U+1F62B;😫;tired face
U+1F634;😴;sleeping face
U+1F60C;😌;relieved face
U+1F61B;😛;face with tongue
U+1F61C;😜;winking face with tongue
U+1F61D;😝;squinting face with tongue
U+1F924;🤤;drooling face
U+1F612;😒;unamused face
U+1F613;😓;downcast face with sweat
U+1F614;😔;pensive face
U+1F615;😕;confused face
U+1F643;🙃;upside-down face
U+1F911;🤑;money-mouth face
U+1F632;😲;astonished face
