UTF8;Icon;Short Name
U+1F600;😀;grinning face
U+1F601;😁;beaming face with smiling eyes
U+1F602;😂;face with tears of joy
U+1F923;🤣;rolling on the floor laughing
U+1F603;😃;grinning face with big eyes
U+1F604;😄;grinning face with smiling eyes
U+1F605;😅;grinning face with sweat
U+1F606;😆;grinning squinting face
U+1F609;😉;winking face
U+1F60A;😊;smiling face with smiling eyes
U+1F60B;😋;face savoring food
U+1F60E;😎;smiling face with sunglasses
U+1F60D;😍;smiling face with heart-eyes
U+1F618;😘;face blowing a kiss
U+1F617;😗;kissing face
U+1F619;😙;kissing face with smiling eyes
U+1F61A;😚;kissing face with closed eyes
U+263A;☺;smiling face
U+1F642;🙂;slightly smiling face
U+1F917;🤗;hugging face
U+F929;🤩;star-struck
